Key,english,japanese,german
questHorseRanchUnlock5Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock5_offer,"[e7a729]You're back! Did you get a token? We can play now yay! Ok ok, gimme the token and I'll call out shapes or colors after about 10 seconds (Look at your buff stack to see the icon of what's being called out). You'll have only 5 seconds to run and stand on that block. If you get it right, we'll keep playing. If you get it wrong, you'll need another token to play. Get 10 points in a row and you'll get a +1 reputation.[-]","[e7a729]おかえりなさい！\n良かった、これで遊べるね！\nそれじゃ、私が10秒後くらいに形か色を言うからね。(指定された形や色は、あなたのバフのアイコンをご覧ください)\n5秒以内に、アビーが言った形とか色のブロックの上に立ってね！\n正解したら次のを言うね、でも失敗したら、またトークンを使わなきゃ遊べないよ。\n\n10回連続で成功すると評判が1上がります。[-]","[e7a729]Du bist zurück! Hast du einen Token bekommen? Wir können jetzt spielen yay! Ok ok gib mir den Token und ich rufe nach etwa 10 Sekunden Formen oder Farben auf (Sieh dir deinen Buff-Stapel an um das Symbol für das zu sehen was aufgerufen wird). Sie haben nur 5 Sekunden Zeit um zu rennen und auf diesem Block zu stehen. Wenn Sie es richtig machen werden wir weiterspielen. Wenn Sie etwas falsch machen benötigen Sie einen weiteren Token zum Spielen. Wenn Sie 10 Punkte hintereinander erhalten erhalten Sie einen Ruf von +1.[-]"

questHorseRanchUnlock6,"[e7a729]A Deal with Vincent Pt. 6[-]","[e7a729]ヴィンセントとの取引Pt. 6[-]","[e7a729]Ein Deal mit Vincent Pt. 6[-]"
questHorseRanchUnlock6Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock6_offer,"[e7a729]Did you play with Abby? She's a creative little girl isn't she? Well, if you will, keep her company a while. I need to talk with Maybell and Leah about something. I'll find you when we're ready for you again.[-]","[e7a729]アビーと遊んでくれたかい？\n本当に想像力豊かな子だよね。\n私はメイベルやリアと話があるから、君はもう少しの間アビーの相手をしてやってくれ。\n\n時が来たらまた話しかけるよ[-]","[e7a729]Hast du mit Abby gespielt? Sie ist ein kreatives kleines Mädchen nicht wahr? Wenn Sie so wollen bleiben Sie eine Weile in Gesellschaft. Ich muss mit Maybell und Leah über etwas reden. Ich werde dich finden wenn wir wieder für dich bereit sind.[-]"

questHorseRanchUnlock7,"[e7a729]A Deal with Vincent Pt. 7[-]","[e7a729]ヴィンセントとの取引Pt. 7[-]","[e7a729]Ein Deal mit Vincent Pt. 7[-]"
questHorseRanchUnlock7Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock7_offer,"[e7a729]Ah there you are. I've been meaning to talk to you. Maybell and Leah agree that we should allow you to train your horse on the obstacle course. Here, I'll give you the first ticket for free. Keep this with you and when you get 100 points in the obstacle course, bring it back to me.[-]","[e7a729]あ、いたいた、君に話があるんだ\nメイベルとリアと話していたんだが、ここの乗馬コースで君の馬の訓練をする事を許可する事になった。\n最初のチケットは無料であげるね。\n乗馬コースのポイントが100貯まったら、このチケットを持って、もう一度私に話しかけてくれ。[-]","[e7a729]Ah da bist Du. Ich wollte mit dir reden. Maybell und Leah sind sich einig dass wir Ihnen erlauben sollten Ihr Pferd auf dem Hindernisparcours zu trainieren. Hier gebe ich Ihnen das erste Ticket kostenlos. Behalte das bei dir und wenn du 100 Punkte auf dem Hindernisparcours hast bring es mir zurück.[-]"

questHorseRanchUnlock8,"[e7a729]A Deal with Vincent Pt. 8[-]","[e7a729]ヴィンセントとの取引Pt. 8[-]","[e7a729]Ein Deal mit Vincent Pt. 8[-]"
questHorseRanchUnlock8Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock8_offer,"[e7a729]Wow you completed the course?? You seem like a natural to be able to control your horse that well. That ribbon can be used along with a horse of your choice to upgrade it to a tier 2 horse. This will consume the ribbon. You will need to craft a new ticket and complete the course again if you want to upgrade a different horse. You're off to be a real great horse trainer. You'd make us all proud. We're very grateful for you to come help us like you have. A special thank you from Maybell, Leah, Abby, and myself. Keep those horses in shape and we'll see you in another mod![-]","[e7a729]え、クリアしたの？\n素晴らしい手綱捌きだったよ。\nそのリボンと自分の馬を組み合わせると馬をグレードアップさせることが出来るよ。\nリボンは消耗品だから、別の馬をアップグレードするためには、またチケットをクラフトして、乗馬コースをクリアする必要があるからね。\n\n本当に素晴らしいトレーナーになりそうだ。\n牧場の手助けをたくさんしてくれてありがとう。\n\nメイベル、リア、アビー、そして私、皆本当に感謝してるよ、また次のModでお会いしましょう！[-]","[e7a729]Wow du hast den Kurs abgeschlossen? Sie scheinen ein Naturtalent zu sein um Ihr Pferd so gut kontrollieren zu können. Dieses Band kann zusammen mit einem Pferd Ihrer Wahl verwendet werden um es zu einem Tier 2-Pferd zu machen. Dadurch wird das Farbband verbraucht. Sie müssen ein neues Ticket erstellen und den Kurs erneut abschließen wenn Sie ein anderes Pferd aufrüsten möchten. Du bist ein wirklich großartiger Pferdetrainer. Sie würden uns alle stolz machen. Wir sind sehr dankbar dass Sie uns helfen so wie Sie es getan haben. Ein besonderes Dankeschön von Maybell Leah Abby und mir. Halte diese Pferde in Form und wir sehen uns in einem anderen Mod![-]"
